hidden_layers,neurons,activation,optimizer,avg_R2,avg_MAE,avg_MSE,avg_RMSE
1,32,relu,adam,0.8432507077562603,0.06336549939498033,0.006809204253391629,0.08246557869886295
1,32,relu,sgd,0.6862274474837571,0.09211456998180916,0.013592581712443791,0.11630927440028886
1,32,relu,adagrad,-0.3803193037589732,0.1950939995405032,0.05982252432089487,0.24238583615787707
1,32,leaky_relu,adam,0.8257263546089215,0.06686788788029219,0.007595323320463745,0.08710354499957765
1,32,leaky_relu,sgd,0.6784915408354991,0.09150752615401611,0.014022954689419553,0.11828920598343803
1,32,leaky_relu,adagrad,-0.0009581023175736058,0.16292325477466058,0.043100461131471396,0.20532810678787877
1,32,sigmoid,adam,0.6644601410994555,0.09582899752495048,0.014681192727997292,0.12087662765495108
1,32,sigmoid,sgd,0.08181607381325744,0.16312033691420583,0.04027327081599593,0.20049382809904165
1,32,sigmoid,adagrad,-5.977575631996752,0.45139479187939013,0.2919299922538599,0.4975107729494769
1,32,tanh,adam,0.7287466456539642,0.08483243194465628,0.011891743880269276,0.1087142354287752
1,32,tanh,sgd,0.7110772085713406,0.08684022379810576,0.01262429719964928,0.11226524984580044
1,32,tanh,adagrad,0.38697337817922145,0.12494305281742032,0.026234168829718702,0.1592711220686484
1,64,relu,adam,0.8614692669159207,0.05900895663718927,0.006018260174051739,0.077463418557117
1,64,relu,sgd,0.7179140759435997,0.08605226711864643,0.012290185884218482,0.11071046139623486
1,64,relu,adagrad,0.12927862687188668,0.14973120639750132,0.037348331438427834,0.18981875985309304
1,64,leaky_relu,adam,0.848511234580263,0.062240247364318844,0.006590091124774139,0.08113504394637414
1,64,leaky_relu,sgd,0.7083408714881974,0.08776960438568904,0.012725705966601381,0.11274500526544777
1,64,leaky_relu,adagrad,0.3233125578195054,0.13909036624588844,0.029196176989490192,0.1693281056118868
1,64,sigmoid,adam,0.6853920406108422,0.09266264566610909,0.013750644082881108,0.11706137397271285
1,64,sigmoid,sgd,0.00866073323861032,0.1668358305078054,0.04329862467837879,0.20771773905140978
1,64,sigmoid,adagrad,0.012102563923646193,0.16724506201357497,0.04316961271156362,0.2076474004123588
1,64,tanh,adam,0.728223734408837,0.08509923651737492,0.011911634653628973,0.10885267723807461
1,64,tanh,sgd,0.718013197711316,0.08595898855403675,0.012318774336784268,0.11087340649286999
1,64,tanh,adagrad,0.6715620194540886,0.09243973704966817,0.014277500232335988,0.1193582107237821
1,128,relu,adam,0.8767556699313918,0.055523610931387156,0.005376727173855577,0.07324509248142622
1,128,relu,sgd,0.7388594342032963,0.08209313679785829,0.011408571208348605,0.10670856435283187
1,128,relu,adagrad,0.5192945131809543,0.11397523598534179,0.020742401872335826,0.1432314365425867
1,128,leaky_relu,adam,0.8699427922704228,0.056802990112513586,0.005668373794183403,0.07520288652732314
1,128,leaky_relu,sgd,0.7179021501841272,0.08510036303498028,0.012277786173060834,0.11070787855817135
1,128,leaky_relu,adagrad,0.5390927345843923,0.10852760696201842,0.01988992923154606,0.14038718309027415
1,128,sigmoid,adam,0.7008450777205387,0.08996285098815954,0.01305584688587404,0.11415159005978422
1,128,sigmoid,sgd,-0.24322316642829556,0.1830366455209461,0.054791737620900616,0.23045356926379185
1,128,sigmoid,adagrad,0.17114573379434966,0.15273511841724918,0.03619977133857384,0.19017048309785317
1,128,tanh,adam,0.7255146065306869,0.08519281709453454,0.01203754104026429,0.10941130250167626
1,128,tanh,sgd,0.726576101010262,0.08505294064831578,0.011984672601947124,0.10920492377568877
1,128,tanh,adagrad,0.6579759338092411,0.09497357367826469,0.014791587312923604,0.12132060249398921
1,256,relu,adam,0.8843872872043768,0.05423242974334175,0.005039617227715697,0.07085338207475556
1,256,relu,sgd,0.7542310577875979,0.08115347171991984,0.010705618040862808,0.10342400287633366
1,256,relu,adagrad,0.5613393890360966,0.10635021062521714,0.018933006858612884,0.13674225258039308
1,256,leaky_relu,adam,0.878398804072031,0.05501811360802163,0.005295981350158894,0.0726914322391545
1,256,leaky_relu,sgd,0.7272176985366382,0.0834918739389509,0.011886775681452395,0.10891347212038174
1,256,leaky_relu,adagrad,0.5693615061841948,0.10777520176381013,0.01858820296908766,0.13553729043640395
1,256,sigmoid,adam,0.7013880648164416,0.09008091968092598,0.013056488219468244,0.11416931869078835
1,256,sigmoid,sgd,-0.34481652439644217,0.19728085127480097,0.058640323493842586,0.2401170527984549
1,256,sigmoid,adagrad,0.08615954319739609,0.16090354222024947,0.03996582256995803,0.19978756990924137
1,256,tanh,adam,0.7241681907585621,0.08516302517838814,0.012080544607043074,0.10964099950624295
1,256,tanh,sgd,0.7194073623080737,0.08579876423041297,0.01227520102856276,0.11062424948877388
1,256,tanh,adagrad,0.6886703454383095,0.09084731528380108,0.013560074771360547,0.11637992323556372
2,32,relu,adam,0.8454622623900014,0.06486732364589094,0.006731030452628553,0.08193799910713456
2,32,relu,sgd,0.5285890633502426,0.11260689831523382,0.020416576982287805,0.1423173901082919
2,32,relu,adagrad,0.2794496591272363,0.13654933793994223,0.031127665121609138,0.1750482313752959
2,32,leaky_relu,adam,0.8324919062554732,0.06636392027489861,0.007279724285305801,0.08523242566162255
2,32,leaky_relu,sgd,0.6063282062269583,0.10330468942155682,0.017134609311819392,0.1308315530232848
2,32,leaky_relu,adagrad,0.3242562605919135,0.13844881661698108,0.029170658828737622,0.16969972170486333
2,32,sigmoid,adam,0.5555774366529016,0.1104179165588546,0.01919359987065902,0.13740583895346417
2,32,sigmoid,sgd,-0.01037627255384932,0.17038166261411541,0.044311864162377354,0.21032458335667698
2,32,sigmoid,adagrad,-1.6062270261148808,0.25884767566014466,0.10898801268040312,0.3095876676741119
2,32,tanh,adam,0.7298797877560019,0.08474182655835485,0.011848495201741794,0.10857021656338597
2,32,tanh,sgd,0.7101339227185987,0.0885067766953161,0.012687789295748745,0.11247603103038015
2,32,tanh,adagrad,0.676922835141848,0.09251184004959155,0.013996043280976733,0.11814219812644236
